"seq","category","name","value","unicode"
"127","cryptoCurrencies","Solana","Solana",""
"128","cryptoCurrencies","XRP","XRP",""
"129","cryptoCurrencies","USDC","USDC",""
"130","cryptoCurrencies","Cardano","Cardano",""
"131","cryptoCurrencies","Dogecoin","Dogecoin",""
"132","cryptoCurrencies","TRON","TRON",""
"133","cryptoCurrencies","Polkadot","Polkadot",""
"134","cryptoCurrencies","Chainlink","Chainlink",""
"135","aiModels","GPT-5.3-Codex","GPT-5.3-Codex",""
"136","aiModels","GPT-4.1","GPT-4.1",""
"137","aiModels","o3","o3",""
"138","aiModels","Claude Sonnet 4","Claude Sonnet 4",""
"139","aiModels","Claude Opus 4","Claude Opus 4",""
"140","aiModels","Gemini 2.5 Pro","Gemini 2.5 Pro",""
"141","aiModels","Llama 3.1 405B","Llama 3.1 405B",""
"142","aiModels","Mistral Large","Mistral Large",""
"143","aiModels","Command R+","Command R+",""
"144","aiModels","Phi-4","Phi-4",""
"145","graphicsCards","NVIDIA GeForce RTX 5090","NVIDIA GeForce RTX 5090",""
"146","graphicsCards","NVIDIA GeForce RTX 5080","NVIDIA GeForce RTX 5080",""
"147","graphicsCards","NVIDIA GeForce RTX 4090","NVIDIA GeForce RTX 4090",""
"148","graphicsCards","NVIDIA RTX 6000 Ada","NVIDIA RTX 6000 Ada",""
"149","graphicsCards","AMD Radeon RX 9070 XT","AMD Radeon RX 9070 XT",""
"150","graphicsCards","AMD Radeon RX 7900 XTX","AMD Radeon RX 7900 XTX",""
"151","graphicsCards","AMD Radeon PRO W7900","AMD Radeon PRO W7900",""
"152","graphicsCards","Intel Arc B580","Intel Arc B580",""
"153","graphicsCards","Intel Arc A770","Intel Arc A770",""
"154","graphicsCards","NVIDIA GeForce RTX 4070 Super","NVIDIA GeForce RTX 4070 Super",""
